Archive	ProjectPseudonym	﻿StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	screening-q	consent-read-pis	consent-voluntary	consent-anon-publish	consent-regulatory	consent-institutes	consent-optional	consent-overall	consent-signed	project-name	project-founded	project-urls	project-open-contrib	project-open-contrib_3_TEXT	project-user-count	project-user-count_7_TEXT	project-user-potentl	project-user-potentl_7_TEXT	project-interns	you-github-user	you-email	you-role	leadership-team-size	you-paid	you-paid_5_TEXT	funds-grant-funds	funds-others-pick-up	funds-others-now	funds-others-in-past	future-funding-plans	future-one-year	future-one-year_6_TEXT	future-five-years	future-five-years_6_TEXT	future-cant-maintain	future-cant-maintain_6_TEXT	anything-else	funds-others-in-past - Parent Topics	funds-others-in-past - Topics
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project48	2021-05-09 22:33:57	2021-05-09 22:35:10	IP Address	[Anonymised]	6	73	False	2021-05-23 22:35:11	R_DwY5TObOhGBpeE1							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project49	2021-05-10 01:12:38	2021-05-10 01:22:56	IP Address	[Anonymised]	56	617	False	2021-05-24 01:23:04	R_2AYXpUoR94gKirh							[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	Apr 2013	https://github.com/[Anonymised]/[Anonymised]	Yes		100-1000		Other, please specify	Not a goal	0																				
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project50	2021-05-10 01:21:55	2021-05-10 01:23:08	IP Address	[Anonymised]	3	73	False	2021-05-24 01:23:09	R_0cupgNsowmdweOd							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project51	2021-05-10 01:34:54	2021-05-10 01:47:32	IP Address	[Anonymised]	3	758	False	2021-05-24 01:47:33	R_3PZgNMnzu926YCh							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project52	2021-05-10 03:31:02	2021-05-10 03:31:35	IP Address	[Anonymised]	6	33	False	2021-05-24 03:31:36	R_1Lq9wiwPITMAZBE							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project53	2021-05-10 03:31:39	2021-05-10 03:35:36	IP Address	[Anonymised]	34	236	False	2021-05-24 03:35:37	R_1l3QgYi6jzDwTQZ							[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]																														
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project54	2021-05-10 04:18:34	2021-05-10 04:22:41	IP Address	[Anonymised]	3	246	False	2021-05-24 04:22:41	R_2Xie1yB7Ef541Ou							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project55	2021-05-10 05:40:47	2021-05-10 05:42:45	IP Address	[Anonymised]	6	117	False	2021-05-24 05:42:46	R_2rwKErvVFBamt5i							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project56	2021-05-10 05:41:40	2021-05-10 05:48:21	IP Address	[Anonymised]	34	401	False	2021-05-24 05:48:23	R_aXCy2f6CjqLW3YZ							[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]																														
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project57	2021-05-10 06:12:52	2021-05-10 06:13:25	IP Address	[Anonymised]	6	32	False	2021-05-24 06:13:26	R_71iFlwD4mNgHULD							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project58	2021-05-10 07:52:25	2021-05-10 07:53:19	IP Address	[Anonymised]	6	53	False	2021-05-24 07:53:22	R_eKEh8Q0ObwcugDL							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project59	2021-05-10 07:56:40	2021-05-10 07:56:47	IP Address	[Anonymised]	3	7	False	2021-05-24 07:56:48	R_DNKgbrChXHxftqV							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project60	2021-05-10 06:39:07	2021-05-10 08:24:53	IP Address	[Anonymised]	6	6345	False	2021-05-24 08:24:54	R_1KqnlATs1BigRb5							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project61	2021-05-10 09:43:05	2021-05-10 09:43:30	IP Address	[Anonymised]	3	25	False	2021-05-24 09:43:31	R_xrsBxmMGcM2KMx3							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project62	2021-05-10 10:47:18	2021-05-10 10:48:43	IP Address	[Anonymised]	3	85	False	2021-05-24 10:48:45	R_1JVdcYRw34oQr6C							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project63	2021-05-24 11:04:34	2021-05-24 11:04:52	IP Address	[Anonymised]	100	17	True	2021-05-24 11:04:52	R_1Cq0ek6dTrd2FpD					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project64	2021-05-10 12:31:18	2021-05-10 12:36:34	IP Address	[Anonymised]	3	316	False	2021-05-24 12:36:35	R_ysAGZLmxWGGqNS9							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project65	2021-05-10 16:00:39	2021-05-10 16:10:04	IP Address	[Anonymised]	34	564	False	2021-05-24 16:10:04	R_3nAzRJ1MrR0rzj3							[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]																														
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project66	2021-05-10 15:54:33	2021-05-10 16:54:30	IP Address	[Anonymised]	3	3597	False	2021-05-24 16:54:33	R_D8iqICwlhVGlLO1							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project67	2021-05-10 22:19:05	2021-05-10 22:19:24	IP Address	[Anonymised]	3	18	False	2021-05-24 22:19:25	R_3JKw2ypdBBoKNwV							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project68	2021-05-10 22:24:25	2021-05-10 22:24:51	IP Address	[Anonymised]	3	25	False	2021-05-24 22:24:57	R_2V4qdqzQ3nrnUKO							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project69	2021-05-11 00:12:35	2021-05-11 00:23:53	IP Address	[Anonymised]	6	677	False	2021-05-25 00:23:54	R_31LwM6lspUnLpGB							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project70	2021-05-11 09:15:40	2021-05-11 09:15:49	IP Address	[Anonymised]	3	9	False	2021-05-25 09:15:51	R_Olqv3n6CWHLodot							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project71	2021-05-11 20:35:46	2021-05-11 20:38:02	IP Address	[Anonymised]	3	136	False	2021-05-25 20:38:07	R_D2nn8kapSU7ESL7							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project72	2021-05-12 15:45:02	2021-05-12 15:56:52	IP Address	[Anonymised]	3	710	False	2021-05-26 15:56:56	R_rrJtO5G9ie2V1IJ							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project73	2021-05-26 16:20:29	2021-05-26 16:26:08	IP Address	[Anonymised]	100	338	True	2021-05-26 16:26:09	R_1E6dn5YT09ohFcx					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	2003	github.com/[Anonymised]/[Anonymised]	Yes		Other, please specify	150000	Other, please specify	10000000	8	[Anonymised]	[Anonymised]	Project Lead	5	"	Yes, as a staff member with a temporary or fixed-term contract,Other, please specify"	Partial salary support from [Private philanthropy]	Yes	Yes	2	3	Yes	"	still active and being maintained/updated by my community"		"	still active and being maintained/updated by my community"		My community members would keep this project running.		I am the third lead developer of Project73.  If I were to leave the project I would expect it to continue on with minimal long-term disruption.		
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project75	2021-05-13 03:38:38	2021-05-13 03:39:15	IP Address	[Anonymised]	6	36	False	2021-05-27 03:39:16	R_yUDJs2B6a96m9lD							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project76	2021-06-03 14:54:08	2021-06-03 15:03:54	IP Address	[Anonymised]	100	585	True	2021-06-03 15:03:54	R_2S36D6LCviC6t9L					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	2006	https://github.com/[Anonymised]/[Anonymised]	Yes		1000-10,000		1000-10,000		6	[Anonymised]	[Anonymised]	maintainer	0	"	Yes, as a staff member with a permanent contract"		No	Yes	30	20	No	"	still active and being maintained/updated by my community"		"	still active and being maintained/updated by my community"		My community members would keep this project running.				
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project77	2021-06-03 15:50:32	2021-06-03 15:50:41	IP Address	[Anonymised]	100	9	True	2021-06-03 15:50:41	R_2Puiro7AtvQwvcq					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project78	2021-06-03 15:58:44	2021-06-03 16:00:12	IP Address	[Anonymised]	100	88	True	2021-06-03 16:00:13	R_1I9LIxr4iq6lZc0					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes																															
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project79	2021-06-03 15:49:45	2021-06-03 16:02:29	IP Address	[Anonymised]	100	763	True	2021-06-03 16:02:29	R_WpJbuchBEiAzE1H					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	2006	https://github.com/[Anonymised]/[Anonymised]	Yes		50-100		100-1000		60	[Anonymised]	[Anonymised]	maintainer/contributor	15	Other, please specify	was paid in the past	No	Yes	2	30	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.		"the main repository listed, https://github.com/Project79/Anonymised, is a mirror of a git server at trac.Project79.org

there are also more repos at https://github.com/Project79 (I listed only some)"		
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project80	2021-06-03 16:07:02	2021-06-03 16:08:17	IP Address	[Anonymised]	100	75	True	2021-06-03 16:08:18	R_2cvIyKIPd2vZJpL					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes																															
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project81	2021-06-04 00:07:53	2021-06-04 00:08:00	IP Address	[Anonymised]	100	7	True	2021-06-04 00:08:00	R_RIC0nRR9TJycZ4B					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project82	2021-06-04 00:50:03	2021-06-04 00:52:21	IP Address	[Anonymised]	100	137	True	2021-06-04 00:52:21	R_2rCHRmB6BupKPgR					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	Mid-2019	https://github.com/[Anonymised]/[Anonymised]	Yes		1-10		1-10		0	[Anonymised]	[Anonymised]	Founder	0	"	Yes, as a staff member with a temporary or fixed-term contract"		Yes	No	0	2	Yes	"	still active and being maintained/updated by my community"		"	finalised with occasional updates"		"	I would continue to provide updates in my free time"				
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project83	2021-06-04 01:16:50	2021-06-04 01:20:42	IP Address	[Anonymised]	100	232	True	2021-06-04 01:20:43	R_dg7vmOWPazHZEGZ					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	2015	"[Anonymised]
https://github.com/[Anonymised]/[Anonymised]"	Yes		1-10		10-20		0	[Anonymised]	[Anonymised]	founder	2	"	Yes, as a staff member with a temporary or fixed-term contract"		No	No	0	0	No	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		"	I would continue to provide updates in my free time"				
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project84	2021-06-04 05:40:45	2021-06-04 05:41:12	IP Address	[Anonymised]	100	27	True	2021-06-04 05:41:12	R_3me25iPOQCC3NsQ					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project85	2021-06-04 07:10:06	2021-06-04 07:13:26	IP Address	[Anonymised]	100	199	True	2021-06-04 07:13:26	R_3FKwUCEChXYTYRd					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	January 2021	https://github.com/[Anonymised]/[Anonymised]	Yes		1-10		1-10		0	[Anonymised]	[Anonymised]	founder	2	"	Yes, as a staff member with a temporary or fixed-term contract"		Yes	No	1	0	No	"	wrapped up and no longer active"		"	wrapped up and no longer active"		"	I would provide periodic but rare updates when I could."				
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project86	2021-06-04 07:13:17	2021-06-04 07:22:30	IP Address	[Anonymised]	100	553	True	2021-06-04 07:22:30	R_1k0qorON6g6psiS					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	March 2019	https://github.com/[Anonymised]/[Anonymised]	Yes		10-20		100-1000		0	[Anonymised]	[Anonymised]	Maintainer	4	"	Yes, as a staff member with a permanent contract"		No	Yes	14	0	No	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		"My community members would keep this project running.,	My colleagues/employees would continue to work on this"				
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project87	2021-06-04 07:29:29	2021-06-04 07:32:45	IP Address	[Anonymised]	100	195	True	2021-06-04 07:32:45	R_1Pb1S6PeaYV2lBz					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project88	2021-06-04 08:41:38	2021-06-04 09:00:41	IP Address	[Anonymised]	100	1143	True	2021-06-04 09:00:42	R_2uybqRF4zFRm3hf					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	~1975	GitHub organization (several repositories):  https://github.com/[Anonymised]/[Anonymised]	Yes		1000-10,000		1000-10,000		4	[Anonymised]	[Anonymised]	Manager	2	"	Yes, as a staff member with a temporary or fixed-term contract"		Yes	Yes	2	3	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		"My community members would keep this project running.,	My colleagues/employees would continue to work on this"				
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project89	2021-06-04 09:33:14	2021-06-04 09:33:37	IP Address	[Anonymised]	100	22	True	2021-06-04 09:33:37	R_2QEXABbF8OSRB26					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project90	2021-06-04 09:33:48	2021-06-04 09:34:51	IP Address		100	63	True	2021-06-04 09:34:52	R_0k21r22TPwPzkIx					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes																																		
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project91	2021-05-21 09:49:53	2021-05-21 09:49:59	IP Address	[Anonymised]	3	6	False	2021-06-04 09:49:59	R_3UEEDIRDDuEQ2Jz							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project92	2021-06-04 10:31:24	2021-06-04 10:57:04	IP Address	[Anonymised]	100	1540	True	2021-06-04 10:57:04	R_3HNuKt1AgHTMyim					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	2014	https://github.com/[Anonymised]/[Anonymised]	Yes		100-1000		100-1000		0	[Anonymised]	[Anonymised]	founder,maintainer	2	"	Yes, as a staff member with a temporary or fixed-term contract"		Yes	Yes	0	2	Yes	"	still active and being maintained/updated by my community"		"	still active and being maintained/updated by my community"		My community members would keep this project running.		I answered the question about the number of users/contributors as the number of end users of the software, rather than contributors (which is much smaller)		
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project93	2021-05-10 00:05:29	2021-05-21 14:04:29	IP Address	[Anonymised]	6	1000739	False	2021-06-04 14:04:30	R_3J2jWEt11Fo5LNx							[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project95	2021-06-05 12:49:18	2021-06-05 12:52:41	IP Address	[Anonymised]	100	203	True	2021-06-05 12:52:42	R_UPHVKnszOuHbGG5					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	2016	https://github.com/[Anonymised]/[Anonymised]	Yes		100-1000		1000-10,000		10	[Anonymised]	[Anonymised]	co-founder, co-PI	5	"	Yes, as a staff member with a permanent contract"		Yes	Yes	5	10	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		"My community members would keep this project running.,	My colleagues/employees would continue to work on this"				
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project96	2021-06-06 09:18:36	2021-06-06 09:31:26	IP Address	[Anonymised]	100	770	True	2021-06-06 09:31:27	R_1oBEnYa9IX92zdn					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	2018	Https://GitHub.com/[Anonymised]/[Anonymised]	Yes		100-1000		1000-10,000		0	[Anonymised]	[Anonymised]	Founder and Co-Director	2	"	Yes, as a staff member with a temporary or fixed-term contract"		Yes	No	2	0	Yes	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		My community members would keep this project running.		We just now have funding to support 2 people part time for 3 years--something that gives enough stability as we do our work and also gives room to explore different partnerships and grow. As we grow we are dedicated to paying people for their time and have been trying to navigate/balance open contribution and lack of funds to support people		
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project97	2021-06-07 02:38:49	2021-06-07 04:38:03	IP Address	[Anonymised]	100	7153	True	2021-06-07 04:38:04	R_2y7qmXZ5XlbRjPY					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	January 2002	https://github.com/[Anonymised]/[Anonymised]	Yes		50-100		50-100		0	[Anonymised]	[Anonymised]	maintainer	3	"	No"		No	Yes	0	0	No	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.				
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project98	2021-06-07 04:42:37	2021-06-07 04:48:44	IP Address		100	367	True	2021-06-07 04:48:44	R_3PhtFWiZeAHFGQf					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	February 2018	https://github.com/[Anonymised]/[Anonymised]	Yes		1-10		10-20		0	[Anonymised]	[Anonymised]	founder, maintainer	3	"	No"		No	Yes	2	0	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.				
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project99	2021-06-08 02:13:36	2021-06-08 02:19:41	IP Address	[Anonymised]	100	364	True	2021-06-08 02:19:41	R_2uKVRloSkwCnojx					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	2011	https://github.com/[Anonymised]/[Anonymised]	Yes		20-50		100-1000		0	[Anonymised]	[Anonymised]	founder	1	"	Yes, as a staff member with a temporary or fixed-term contract"		Yes	Yes	0	0	Yes	still active and being maintained/updated by my colleagues		"	still active and being maintained/updated by my community"		"	I would provide periodic but rare updates when I could."				
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project100	2021-06-09 10:14:53	2021-06-09 10:23:23	IP Address	[Anonymised]	100	509	True	2021-06-09 10:23:23	R_3kb7yFCAjiDg1nV					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	2015	https://github.com/[Anonymised]/[Anonymised]	Yes		1000-10,000		1000-10,000		5	[Anonymised]	[Anonymised]	Founder	6	Other, please specify	PI on grants funding project	Yes	Yes	8	6	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		"My community members would keep this project running.,	My colleagues/employees would continue to work on this"		How would we sustain funding for this project long term?		
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project101	2021-06-09 11:12:51	2021-06-09 11:13:11	IP Address	[Anonymised]	100	19	True	2021-06-09 11:13:11	R_4PKhLNsqN8wi0nL					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project102	2021-06-10 07:48:57	2021-06-10 07:49:02	IP Address	[Anonymised]	100	5	True	2021-06-10 07:49:03	R_1QoVWapueZDAB3A					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project103	2021-05-27 13:39:39	2021-05-27 13:41:26	IP Address	[Anonymised]	34	106	False	2021-06-10 13:41:27	R_x3FFrkUuePdx8yJ							[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]																														
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project104	2021-06-11 02:01:32	2021-06-11 02:01:42	IP Address	[Anonymised]	100	9	True	2021-06-11 02:01:42	R_1mrXzIsnoGPAN9e					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project105	2021-06-11 02:40:35	2021-06-11 02:40:41	IP Address	[Anonymised]	100	6	True	2021-06-11 02:40:42	R_1QykStrYpUH3t4R					[Anonymised]	[Anonymised]	[Anonymised]	EN	No, I do not lead an open source or  science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project106	2021-06-11 02:43:08	2021-06-11 02:49:25	IP Address	[Anonymised]	100	377	True	2021-06-11 02:49:25	R_2VsCk2H4g41W8ob					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	april 2016	https://github.com/[Anonymised]/[Anonymised]	Yes		1-10		10-20		0	[Anonymised]	[Anonymised]	maintainer	1	"	No"		No	No	1	2	Yes	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		"	I would continue to provide updates in my free time"		My employer admits that some of my working hours are applied to maintaining Project106, but it is not part of my official job assignements		
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project107	2021-06-11 03:07:00	2021-06-11 03:07:29	IP Address	[Anonymised]	100	29	True	2021-06-11 03:07:30	R_2EGYKWOpaTq6NJC					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project																																						
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project108	2021-06-11 04:29:11	2021-06-11 04:50:28	IP Address	[Anonymised]	100	1276	True	2021-06-11 04:50:28	R_3iLkMDkxE8KpcJd					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	2016	https://github.com/[Anonymised]/[Anonymised]	Yes		1000-10,000		1000-10,000		1	[Anonymised]	[Anonymised]	Maintainer	10	Other, please specify	Yes, as a contractor	No	Yes	5	5	No	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.				
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project110	2021-06-11 09:02:01	2021-06-11 09:22:19	IP Address	[Anonymised]	100	1218	True	2021-06-11 09:22:19	R_31hYECySIMruLXT					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	2007	"https://sourceforge.net/projects/[Anonymised]/
https://sourceforge.net/projects/[Anonymised]/
https://github.com/[Anonymised]/[Anonymised]"	Yes		10-20		20-50		2, undergraduate research at [Anonymous university].  Graduate students also work on the project.	[Anonymised]	[Anonymised]	founder	4	"	Yes, as a staff member with a permanent contract"		No	Yes	5	16	Yes	still active and being maintained/updated, me still contributing		still active and being maintained/updated, me still contributing		My community members would keep this project running.		Overall Project110 project web site at [Anonymised]. While open source project started on Sourceforge in 2007, the code base started in 2002.  Code is used to process data on many [Anonymised domain], including [Anonymised domain] in [Anonymised, two asian countries].  Besides the University contributions, two companies contribute coding effort to the project. 		
Sustainability+of+open+projects_November+4,+2022_04.55.zip	Project111	2021-06-11 09:46:56	2021-06-11 10:35:34	IP Address	[Anonymised]	100	2918	True	2021-06-11 10:35:35	R_bOrtkudnagLuq4h					[Anonymised]	[Anonymised]	[Anonymised]	EN	Yes, I lead an open source or open science project	Yes	Yes	Yes	Yes	Yes	Yes	Yes	[Anonymised]	[Anonymised]	2009	https://github.com/[Anonymised]/[Anonymised]	Yes		10-20		50-100		2	[Anonymised]	[Anonymised]	maintainer, mentor	2	"	Yes, as a staff member with a temporary or fixed-term contract"		No	Yes	1	1	Yes	still active and being maintained/updated, me still contributing		"	still active and being maintained/updated by my community"		"My community members would keep this project running.,	I would provide periodic but rare updates when I could."		"I had a bit hard time deciding answers to some of the questions, e.g.:
Size of the community AT THE MOMENT: depends on how big window the MOMENT is, and who counts (e.g. professors who contribute by hopefully paying the maintainers, or at least help with funding applications). I inserted medium-concervative estimates. The same for the future.
People paid to maintain: Should e.g. 20% FTE count as 0.2, 0, or 1? Should people who contribute voluntarily but within their paid worktime count? Again, I inserted a medium-conservative estimate."		
